"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_5839","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5840","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","g_","s_"
"ASV_5841","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5842","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5843","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5844","Viridiplantae","Chlorophyta","unknown","unknown","unknown","g_","s_"
"ASV_5845","no_hit","unknown","Acantharea","Symphyacanthida","Amphilithiidae","g_","s_"
"ASV_5846","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5847","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5848","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5849","no_hit","unknown","Polycystinea","no_hit","no_hit","no_hit","no_hit"
"ASV_5850","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Warnowiaceae","Warnowia","Warnowia sp. BSL-2009a"
"ASV_5851","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5852","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5853","no_hit","Dinophyceae","Dinophyceae","Torodiniales","Torodiniaceae","g_","s_"
"ASV_5854","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","g_","s_"
"ASV_5855","no_hit","Apicomplexa","Aconoidasida","Piroplasmida","Babesiidae","g_","s_"
"ASV_5856","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"ASV_5857","no_hit","Dinophyceae","Dinophyceae","Blastodiniales","unknown","g_","s_"
"ASV_5858","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"ASV_5859","no_hit","Dinophyceae","Dinophyceae","Peridiniales","no_hit","no_hit","s_"
"ASV_5860","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","s_"
"ASV_5861","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5862","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","s_"
"ASV_5863","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","g_","s_"
"ASV_5864","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"ASV_5865","no_hit","unknown","Polycystinea","Nassellaria","Plagiacanthidae","g_","s_"
